Tipo,Operación,Precio,Administración,Niveles,Habitaciones,Baños,Parqueaderos,Área Construida,Área Lote,Barrio,Estrato,Ciudad
Bodega,Arriendo,16000000.0,1070800.0,0.0,0.0,2.0,4.0,485.0,485.0,Siberia - Portos Sabana 80,4.0,Cota
Bodega,Arriendo,18000000.0,,0.0,0.0,3.0,1.0,495.0,495.0,Benjamín Herrera,3.0,Bogotá
Local,Arriendo,800000.0,,0.0,0.0,1.0,0.0,20.0,20.0,DIAGONAL SANTANDER,4.0,Cúcuta
Local,Arriendo,2000000.0,,1.0,0.0,1.0,0.0,70.0,70.0,El Llano,3.0,Cúcuta
Apartamento,Venta,400000000.0,,0.0,3.0,3.0,1.0,92.7,92.7,LA RIVIERA,4.0,Cúcuta
Apartamento,Arriendo,1650000.0,,6.0,3.0,2.0,1.0,49.0,49.0,prados del este,3.0,Cúcuta
Apartaestudio,Arriendo,550000.0,,3.0,1.0,1.0,0.0,40.0,40.0,El Llano,3.0,Cúcuta
Apartamento,Arriendo,2400000.0,,0.0,6.0,2.0,0.0,130.0,130.0,Venecia-Tunjuelito,3.0,Bogotá
,,,,,,,,,,,,
Apartamento,Venta,370000000.0,300000.0,3.0,1.0,1.0,0.0,26.0,0.0,El Recuerdo,4.0,Bogotá
Apartamento,Arriendo,2900000.0,300000.0,3.0,1.0,1.0,0.0,30.0,0.0,El Recuerdo-Teusaquillo,4.0,Bogotá
Apartaestudio,Arriendo,500000.0,,0.0,1.0,1.0,0.0,35.0,35.0,El Llano,3.0,Cúcuta
Apartamento,Arriendo,650000.0,,3.0,2.0,2.0,0.0,53.0,53.0,El Llano,3.0,Cúcuta
Apartamento,Arriendo,1200000.0,,0.0,4.0,3.0,0.0,150.0,100.6,Urbanización Santa Clara,3.0,Los patios
Apartaestudio,Arriendo,950000.0,,2.0,1.0,1.0,0.0,50.0,50.0,La Playa,3.0,Cúcuta
Apartamento,Arriendo,2200000.0,,5.0,2.0,1.0,1.0,56.42,56.42,La Colina Campestre,4.0,Bogotá
Local,Venta,450000000.0,,1.0,0.0,1.0,0.0,52.24,52.24,Santa Fe-mártires,2.0,Bogotá
,,,,,,,,,,,,
Casa,Venta,690000000.0,450000.0,0.0,3.0,4.0,2.0,200.0,169.13,Bellavista,6.0,Los patios
Casa,Arriendo,2100000.0,,0.0,3.0,3.0,1.0,140.0,77.0,Piñuela,4.0,Cúcuta
Apartamento,Venta,135000000.0,120000.0,0.0,3.0,2.0,0.0,57.0,57.0,Bocono,3.0,Cúcuta
Casa,Arriendo,750000.0,,0.0,2.0,3.0,0.0,100.0,60.0,San Eduardo,3.0,Cúcuta
Apartamento,Venta,350000000.0,284000.0,0.0,3.0,2.0,1.0,80.0,80.0,La Floresta,5.0,Los patios
Casa,Venta,890000000.0,,0.0,4.0,3.0,1.0,1000.0,1.4,Bochalema,4.0,Bochalema
Apartamento,Venta,75000000.0,60000.0,0.0,2.0,1.0,0.0,42.2,42.2,El Rodeo - Arrayanes,1.0,Cúcuta
Apartaestudio,Arriendo,4073000.0,458000.0,5.0,1.0,1.0,1.0,26.0,26.0,Chapinero Alto,4.0,Bogotá
Apartamento,Venta,400000000.0,733000.0,0.0,3.0,3.0,2.0,125.0,125.0,BELLAVISTA,6.0,Los patios
Apartamento,Venta,300000000.0,386000.0,0.0,3.0,2.0,1.0,67.9,67.9,La Floresta,3.0,Los patios
Local,Arriendo,2600000.0,,1.0,0.0,1.0,0.0,60.0,0.0,El Lago,5.0,Bogotá
Casa,Venta,250000000.0,169000.0,0.0,3.0,3.0,1.0,69.69,64.82,Lomitas,3.0,Villa del rosario
Casa,Arriendo/venta,7000000995000000.0,,2.0,9.0,4.0,2.0,250.0,0.0,La Magdalena-Teusaquillo,1.0,Bogotá
Oficina,Arriendo,7150000.0,1365000.0,0.0,0.0,1.0,2.0,102.0,0.0,Bella Suiza-Usaquén,5.0,Bogotá
Apartamento,Arriendo,1250000.0,141000.0,0.0,2.0,2.0,0.0,58.0,0.0,San Antonio Norte-Usaquén,3.0,Bogotá
Apartaestudio,Arriendo,1730000.0,305000.0,0.0,1.0,1.0,0.0,42.0,0.0,Chapinero Central,4.0,Bogotá
,,,,,,,,,,,,
Oficina,Arriendo,3500000.0,,2.0,0.0,2.0,0.0,130.0,130.0,GALERÍAS,3.0,Bogotá
Apartamento,Arriendo,1534000.0,366000.0,4.0,1.0,1.0,1.0,38.0,38.0,GALERIAS,3.0,Bogotá
Local,Arriendo,980000.0,,0.0,0.0,1.0,0.0,20.0,20.0,LA PLAYA,3.0,Cúcuta
Local,Arriendo,1700000.0,,1.0,0.0,1.0,0.0,30.0,30.0,San Luis,3.0,Cúcuta
Casa,Venta,250000000.0,,0.0,3.0,1.0,1.0,110.5,110.5,Prados Del Este,3.0,Cúcuta
,,,,,,,,,,,,
Apartamento,Arriendo,1000000.0,109500.0,0.0,2.0,1.0,0.0,29.0,29.0,Fontibon,3.0,Bogotá
Apartamento,Arriendo,2900000.0,250000.0,11.0,2.0,2.0,1.0,65.0,0.0,Cuidadela la Salle,4.0,Bogotá
Apartamento,Venta,590000000.0,790000.0,4.0,3.0,2.0,1.0,86.0,0.0,El Contador-Usaquén,5.0,Bogotá
Apartamento,Arriendo,2300000.0,555000.0,2.0,1.0,1.0,1.0,43.0,0.0,Chico navarra,6.0,Bogotá
Local,Arriendo,10000000.0,,0.0,0.0,3.0,0.0,585.98,585.98,Colsag,3.0,Cúcuta
Apartamento,Arriendo,1800000.0,,0.0,3.0,2.0,1.0,80.0,80.0,CEIBA II,4.0,Cúcuta
Casa,Arriendo,1200000.0,,0.0,4.0,2.0,2.0,200.0,300.0,San Martin,3.0,Cúcuta
Lote,Venta,473094000.0,,0.0,0.0,0.0,0.0,0.0,262.8,Vía Al Tennis,5.0,Cúcuta
Apartaestudio,Arriendo,1700000.0,,0.0,1.0,1.0,1.0,30.0,30.0,VILLA DEL ROSARIO,4.0,Villa del rosario
,,,,,,,,,,,,
Casa,Venta,340000000.0,,0.0,8.0,6.0,1.0,84.0,84.0,Av. Las Américas,2.0,Cúcuta
Oficina,Venta,225000000.0,400000.0,3.0,2.0,2.0,1.0,30.0,0.0,Santa Bibiana-Usaquén,5.0,Bogotá
Apartamento,Arriendo/venta,1300000240000000.0,164000.0,4.0,2.0,1.0,1.0,40.0,0.0,,3.0,Chía
