Tipo,Operación,Precio,Administración,Niveles,Habitaciones,Baños,Parqueaderos,Área Construida,Área Lote,Barrio,Estrato,Ciudad
Casa,Venta,1000000000.0,0.0,0.0,6.0,3.0,4.0,350.0,350.0,Colsag,4.0,Cúcuta
Casa,Venta,380000000.0,220000.0,0.0,4.0,4.0,2.0,142.0,105.36,Ceiba II,4.0,Cúcuta
Apartamento,Venta,240000000.0,320000.0,0.0,2.0,1.0,1.0,56.9,56.9,Colsag,4.0,Cúcuta
Oficina,Venta,180000000.0,220000.0,0.0,0.0,1.0,0.0,31.48,31.48,LA PLAYA,3.0,Cúcuta
Casa,Venta,190000000.0,0.0,0.0,2.0,2.0,1.0,88.0,96.0,Nuevo Escobal,3.0,Cúcuta
Edificio,Venta,2600000000.0,0.0,0.0,26.0,26.0,0.0,970.0,300.0,Quinta Oriental,4.0,Cúcuta
Local,Venta,265000000.0,889000.0,0.0,0.0,0.0,0.0,26.71,26.71,Prados Del Norte,4.0,Cúcuta
Lote,Venta,620000000.0,0.0,0.0,0.0,0.0,0.0,2754.0,2754.0,"La Libertad, Bellavista",3.0,Cúcuta
Casa,Venta,180000000.0,0.0,0.0,3.0,2.0,1.0,81.0,135.0,Trigal Del Norte,2.0,Cúcuta
Casa,Venta,270000000.0,0.0,0.0,3.0,3.0,2.0,271.0,252.0,"La Libertad, Aguas Calientes",2.0,Cúcuta
Apartamento,Venta,180000000.0,180000.0,0.0,3.0,2.0,0.0,47.67,47.67,Prados Del Este,3.0,Cúcuta
Apartamento,Venta,90000000.0,90000.0,0.0,3.0,1.0,0.0,42.06,42.06,Molinos Del Norte,2.0,Cúcuta
Casa,Venta,310000000.0,0.0,0.0,3.0,2.0,1.0,102.0,102.0,Prados Del Este,3.0,Cúcuta
Apartamento,Venta,295000000.0,400000.0,0.0,3.0,2.0,1.0,73.1,73.1,AV. LIBERTADORES,4.0,Cúcuta
Local,Venta,850000000.0,0.0,0.0,0.0,1.0,0.0,250.0,250.0,Comuneros,2.0,Cúcuta
Local,Venta,750000000.0,0.0,0.0,0.0,1.0,0.0,192.0,192.0,Juan Atalaya -  Natilan,3.0,Cúcuta
Apartamento,Venta,350000000.0,800000.0,0.0,5.0,4.0,2.0,196.0,196.0,Barrio Blanco,4.0,Cúcuta
Local,Venta,480000000.0,0.0,0.0,0.0,1.0,0.0,66.27,66.27,Centro,3.0,Cúcuta
Apartamento,Venta,250000000.0,268200.0,0.0,3.0,3.0,1.0,68.5,68.5,Av. Libertadores,3.0,Cúcuta
Apartamento,Venta,230000000.0,200000.0,0.0,3.0,2.0,1.0,68.0,68.0,Guaimaral,3.0,Cúcuta
Casa,Venta,260000000.0,230000.0,0.0,3.0,3.0,1.0,70.4,67.2,Bocono,3.0,Cúcuta
Apartamento,Venta,195000000.0,291000.0,0.0,3.0,2.0,1.0,92.1,92.1,El Rosal,4.0,Cúcuta
Casa,Venta,110000000.0,0.0,0.0,5.0,2.0,0.0,181.2,181.2,San Miguel,2.0,Cúcuta
